time,open,high,low,close,tick_volume,spread,real_volume,returns
2025-11-19 08:00:00,4095.39,4098.46,4089.02,4090.87,10087,34,0,-0.0011061190604092497
2025-11-19 09:00:00,4090.76,4096.82,4084.8,4086.82,8856,32,0,-0.000990009460090313
2025-11-19 10:00:00,4086.85,4088.6,4078.18,4083.38,10565,32,0,-0.0008417302450316466
2025-11-19 11:00:00,4083.1,4116.2,4081.03,4113.26,12020,32,0,0.007317467392209398
2025-11-19 12:00:00,4113.34,4118.87,4106.92,4108.85,11659,32,0,-0.0010721422910294764
2025-11-19 13:00:00,4109.03,4117.42,4106.43,4112.78,8379,32,0,0.0009564720055488252
2025-11-19 14:00:00,4112.87,4119.71,4112.12,4114.43,8316,32,0,0.0004011884905101848
2025-11-19 15:00:00,4114.89,4117.62,4100.8,4110.51,16231,32,0,-0.0009527443655622525
2025-11-19 16:00:00,4110.6,4128.9,4102.07,4127.88,17967,32,0,0.00422575300875061
2025-11-19 17:00:00,4127.79,4132.69,4089.98,4096.53,21085,32,0,-0.007594697520276861
2025-11-19 18:00:00,4096.54,4098.52,4067.76,4074.49,23121,32,0,-0.0053801632113031905
2025-11-19 19:00:00,4074.48,4081.13,4055.41,4078.84,21218,32,0,0.0010676182786066857
2025-11-19 20:00:00,4078.72,4091.11,4075.64,4087.16,16198,32,0,0.0020397956281688057
2025-11-19 21:00:00,4087.09,4087.19,4069.06,4073.53,16351,32,0,-0.0033348339678406225
2025-11-19 22:00:00,4073.31,4082.01,4072.17,4076.22,12053,32,0,0.0006603609154711698
2025-11-19 23:00:00,4076.23,4084.61,4065.53,4077.36,6729,36,0,0.00027967087154290304
2025-11-20 01:00:00,4078.23,4108.17,4078.09,4104.39,7090,34,0,0.00662928954029085
2025-11-20 02:00:00,4104.35,4110.02,4100.34,4103.01,8307,34,0,-0.0003362253587013697
2025-11-20 03:00:00,4102.9,4108.96,4081.04,4081.19,13992,34,0,-0.005318046994767345
2025-11-20 04:00:00,4081.18,4081.57,4042.0,4066.95,15993,34,0,-0.00348917840139773
2025-11-20 05:00:00,4066.92,4085.44,4064.67,4072.3,11835,34,0,0.001315482118049216
2025-11-20 06:00:00,4072.32,4080.32,4068.23,4075.53,7232,34,0,0.0007931635684994554
2025-11-20 07:00:00,4075.56,4075.89,4064.44,4066.65,10173,34,0,-0.002178857719118743
2025-11-20 08:00:00,4066.6,4077.55,4058.67,4068.31,11517,34,0,0.0004081983942556544
2025-11-20 09:00:00,4068.18,4076.54,4054.15,4059.94,10055,32,0,-0.0020573653433488825
2025-11-20 10:00:00,4059.97,4069.36,4038.87,4063.31,14294,32,0,0.0008300615280028012
2025-11-20 11:00:00,4063.42,4072.7,4055.5,4063.97,11631,32,0,0.00016242915258746216
2025-11-20 12:00:00,4064.0,4068.17,4058.06,4059.94,7553,32,0,-0.0009916411784535173
2025-11-20 13:00:00,4059.96,4068.17,4051.01,4060.59,8766,32,0,0.00016010088819040647
2025-11-20 14:00:00,4060.6,4082.0,4060.05,4081.73,9418,34,0,0.005206139994434311
2025-11-20 15:00:00,4081.88,4096.25,4066.53,4080.36,19644,35,0,-0.0003356419949384071
2025-11-20 16:00:00,4080.15,4107.08,4072.11,4093.17,20248,35,0,0.0031394288739228227
2025-11-20 17:00:00,4093.08,4098.73,4070.14,4070.19,19712,32,0,-0.005614230535257558
2025-11-20 18:00:00,4070.16,4082.48,4044.75,4049.04,23519,32,0,-0.005196317616622315
2025-11-20 19:00:00,4048.95,4068.38,4043.61,4066.06,23634,33,0,0.004203465512812921
2025-11-20 20:00:00,4065.97,4072.48,4056.18,4060.46,19400,33,0,-0.0013772546396265684
2025-11-20 21:00:00,4060.44,4087.04,4059.0,4084.54,17364,33,0,0.005930362569757985
2025-11-20 22:00:00,4084.49,4084.99,4073.28,4077.09,14443,33,0,-0.0018239507998452087
2025-11-20 23:00:00,4077.48,4080.91,4074.14,4076.59,4042,36,0,-0.00012263648827959273
2025-11-21 01:00:00,4076.79,4088.7,4072.81,4079.08,6114,36,0,0.0006108046185659965
2025-11-21 02:00:00,4079.09,4081.13,4071.42,4073.8,6105,36,0,-0.0012944095237160669
2025-11-21 03:00:00,4072.96,4074.46,4060.49,4068.39,13403,36,0,-0.0013279984289853441
2025-11-21 04:00:00,4068.4,4079.86,4056.67,4057.19,10982,36,0,-0.002752931749414378
2025-11-21 05:00:00,4057.09,4059.29,4049.28,4056.12,11671,36,0,-0.0002637293299057042
2025-11-21 06:00:00,4055.81,4062.37,4047.77,4052.02,8833,36,0,-0.0010108182203681926
2025-11-21 07:00:00,4052.03,4059.37,4039.95,4058.39,11133,36,0,0.0015720554192724112
2025-11-21 08:00:00,4058.38,4064.79,4029.16,4032.69,13706,36,0,-0.00633256044884789
2025-11-21 09:00:00,4032.7,4039.67,4024.77,4031.5,11384,33,0,-0.0002950883901317036
2025-11-21 10:00:00,4031.6,4047.91,4022.29,4040.93,13273,33,0,0.002339079746992434
2025-11-21 11:00:00,4040.88,4063.38,4040.0,4050.54,12862,32,0,0.0023781654223162807
2025-11-21 12:00:00,4050.52,4052.64,4032.36,4037.15,15163,32,0,-0.0033057320752294395
2025-11-21 13:00:00,4037.01,4046.79,4030.95,4036.6,10375,32,0,-0.00013623472003765347
2025-11-21 14:00:00,4036.74,4071.79,4034.67,4065.78,17776,32,0,0.00722885596789391
2025-11-21 15:00:00,4065.98,4081.14,4059.15,4079.48,16412,32,0,0.0033695871394909815
2025-11-21 16:00:00,4079.44,4083.84,4061.51,4071.42,19718,33,0,-0.0019757420063341025
2025-11-21 17:00:00,4071.72,4076.87,4054.9,4070.05,23448,33,0,-0.0003364919364742258
2025-11-21 18:00:00,4070.04,4099.96,4062.89,4099.86,20009,33,0,0.007324234346015368
2025-11-21 19:00:00,4099.95,4100.91,4079.0,4085.19,17869,33,0,-0.0035781709619352453
2025-11-21 20:00:00,4085.14,4088.26,4076.33,4082.36,16267,33,0,-0.0006927462370170945
2025-11-21 21:00:00,4082.28,4092.08,4081.93,4087.98,12722,33,0,0.0013766546801359247
2025-11-21 22:00:00,4087.94,4088.65,4055.12,4068.35,16722,33,0,-0.004801882592380569
2025-11-21 23:00:00,4068.32,4069.88,4054.48,4064.81,5768,33,0,-0.0008701316258433733
2025-11-24 01:00:00,4070.28,4077.64,4065.76,4075.04,6882,34,0,0.0025167227988516228
2025-11-24 02:00:00,4074.99,4075.99,4058.17,4067.31,6450,34,0,-0.0018969138953237596
2025-11-24 03:00:00,4067.81,4073.04,4042.68,4044.19,13689,34,0,-0.0056843466566354195
